0.05
2
Time,N001,I1,R1,
0.000215,-57.4527,6.87958,-2.87263,
0.000216,-57.5917,6.88634,-2.87958,
0.000217,-57.7268,6.8929,-2.88634,
0.000218,-57.8581,6.89928,-2.8929,
0.000219,-57.9855,6.90545,-2.89928,
0.00022,-58.1091,6.91144,-2.90545,
0.000221,-58.2287,6.91723,-2.91144,
0.000222,-58.3445,6.92282,-2.91723,
0.000223,-58.4564,6.92822,-2.92282,
0.000224,-58.5645,6.93343,-2.92822,
0.000225,-58.6686,6.93844,-2.93343,
0.000226,-58.7688,6.94326,-2.93844,
0.000227,-58.8652,6.94788,-2.94326,
0.000228,-58.9576,6.95231,-2.94788,
0.000229,-59.0461,6.95654,-2.95231,
0.00023,-59.1308,6.96057,-2.95654,
0.000231,-59.2115,6.96441,-2.96057,
0.000232,-59.2883,6.96806,-2.96441,
0.000233,-59.3611,6.9715,-2.96806,
0.000234,-59.4301,6.97476,-2.9715,
0.000235,-59.4951,6.97781,-2.97476,
0.000236,-59.5562,6.98067,-2.97781,
0.000237,-59.6134,6.98333,-2.98067,
0.000238,-59.6666,6.98579,-2.98333,
0.000239,-59.7159,6.98806,-2.98579,
0.00024,-59.7613,6.99013,-2.98806,
0.000241,-59.8027,6.99201,-2.99013,
0.000242,-59.8402,6.99368,-2.99201,
0.000243,-59.8737,6.99516,-2.99368,
0.000244,-59.9033,6.99645,-2.99516,
0.000245,-59.9289,6.99753,-2.99645,
0.000246,-59.9507,6.99842,-2.99753,
0.000247,-59.9684,6.99911,-2.99842,
0.000248,-59.9822,6.99961,-2.99911,
0.000249,-59.9921,6.9999,-2.99961,
0.00025,-59.998,7,-2.9999,
0.000251,-60,6.9999,-3,
0.000252,-59.998,6.99961,-2.9999,
0.000253,-59.9921,6.99911,-2.99961,
0.000254,-59.9822,6.99842,-2.99911,
0.000255,-59.9684,6.99753,-2.99842,
0.000256,-59.9507,6.99645,-2.99753,
0.000257,-59.9289,6.99516,-2.99645,
0.000258,-59.9033,6.99368,-2.99516,
0.000259,-59.8737,6.99201,-2.99368,
0.00026,-59.8402,6.99013,-2.99201,
0.000261,-59.8027,6.98806,-2.99013,
0.000262,-59.7613,6.98579,-2.98806,
0.000263,-59.7159,6.98333,-2.98579,
0.000264,-59.6666,6.98067,-2.98333,
0.000265,-59.6134,6.97781,-2.98067,
0.000266,-59.5562,6.97476,-2.97781,
0.000267,-59.4951,6.9715,-2.97476,
0.000268,-59.4301,6.96806,-2.9715,
0.000269,-59.3611,6.96441,-2.96806,
0.00027,-59.2883,6.96057,-2.96441,
0.000271,-59.2115,6.95654,-2.96057,
0.000272,-59.1308,6.95231,-2.95654,
0.000273,-59.0461,6.94788,-2.95231,
0.000274,-58.9576,6.94326,-2.94788,
0.000275,-58.8652,6.93844,-2.94326,
0.000276,-58.7688,6.93343,-2.93844,
0.000277,-58.6686,6.92822,-2.93343,
0.000278,-58.5645,6.92282,-2.92822,
0.000279,-58.4564,6.91723,-2.92282,
0.00028,-58.3445,6.91144,-2.91723,
0.000281,-58.2287,6.90545,-2.91144,
0.000282,-58.1091,6.89928,-2.90545,
0.000283,-57.9855,6.8929,-2.89928,
0.000284,-57.8581,6.88634,-2.8929,
0.000285,-57.7268,6.87958,-2.88634,
0.000286,-57.5917,6.87263,-2.87958,
0.000287,-57.4527,6.86549,-2.87263,
0.000288,-57.3099,6.85816,-2.86549,
0.000289,-57.1632,6.85063,-2.85816,
0.00029,-57.0127,6.84292,-2.85063,
0.000291,-56.8583,6.83501,-2.84292,
0.000292,-56.7001,6.82691,-2.83501,
0.000293,-56.5382,6.81862,-2.82691,
0.000294,-56.3724,6.81014,-2.81862,
0.000295,-56.2028,6.80147,-2.81014,
0.000296,-56.0294,6.79261,-2.80147,
0.000297,-55.8522,6.78356,-2.79261,
0.000298,-55.6712,6.77432,-2.78356,
0.000299,-55.4865,6.7649,-2.77432,
0.0003,-55.2979,6.75528,-2.7649,
0.000301,-55.1057,6.74548,-2.75528,
0.000302,-54.9096,6.73549,-2.74548,
0.000303,-54.7098,6.72532,-2.73549,
0.000304,-54.5063,6.71495,-2.72532,
0.000305,-54.2991,6.7044,-2.71495,
0.000306,-54.0881,6.69367,-2.7044,
0.000307,-53.8734,6.68275,-2.69367,
0.000308,-53.655,6.67164,-2.68275,
0.000309,-53.4329,6.66036,-2.67164,
0.00031,-53.2071,6.64888,-2.66036,
0.000311,-52.9776,6.63723,-2.64888,
0.000312,-52.7445,6.62539,-2.63723,
0.000313,-52.5077,6.61336,-2.62539,
0.000314,-52.2673,6.60116,-2.61336,
0.000315,-52.0232,6.58877,-2.60116,
0.000316,-51.7755,6.57621,-2.58877,
0.000317,-51.5241,6.56346,-2.57621,
0.000318,-51.2692,6.55053,-2.56346,
0.000319,-51.0106,6.53742,-2.55053,
0.00032,-50.7484,6.52414,-2.53742,
0.000321,-50.4827,6.51067,-2.52414,
0.000322,-50.2134,6.49703,-2.51067,
0.000323,-49.9405,6.48321,-2.49703,
0.000324,-49.6641,6.46921,-2.48321,
0.000325,-49.3841,6.45503,-2.46921,
0.000326,-49.1007,6.44068,-2.45503,
0.000327,-48.8136,6.42616,-2.44068,
0.000328,-48.5231,6.41146,-2.42616,
0.000329,-48.2291,6.39658,-2.41146,
0.00033,-47.9316,6.38153,-2.39658,
0.000331,-47.6307,6.36631,-2.38153,
0.000332,-47.3262,6.35092,-2.36631,
0.000333,-47.0184,6.33535,-2.35092,
0.000334,-46.7071,6.31962,-2.33535,
0.000335,-46.3923,6.30371,-2.31962,
0.000336,-46.0742,6.28763,-2.30371,
0.000337,-45.7527,6.27139,-2.28763,
0.000338,-45.4277,6.25497,-2.27139,
0.000339,-45.0994,6.23839,-2.25497,
0.00034,-44.7678,6.22164,-2.23839,
0.000341,-44.4328,6.20472,-2.22164,
0.000342,-44.0945,6.18764,-2.20472,
0.000343,-43.7528,6.17039,-2.18764,
0.000344,-43.4078,6.15298,-2.17039,
0.000345,-43.0596,6.1354,-2.15298,
