Detected Component: I1
G11:0 G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G21:0 G31:0 G31:0 G31:0 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R1
G11:0 G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G21:0 G31:-0.001 G31:0 G31:0.001 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: V1
G11:0 G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R2
G11:0 G11:0 G11:0 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
G11:0 G11:0 G11:0 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R1
G11:0.001 G11:0 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R2
G11:0.001001 G11:-1e-06 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
G11:0.001001 G11:-1e-06 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: C1
G11:1 G11:-1e-06 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Time,N001,N002,N003,N004,C1,L1,R2,R1,V1,I1,
0.000101,-2.04634e+284,-2.0443e+290,9.31867e+267,0,-2.04634e+284,-2.04429e+284,2.04429e+284,-2.04634e+281,0,-0.1,
0.000102,-2.04839e+287,-2.04634e+293,9.31119e+270,0,-2.04839e+287,-2.04634e+287,2.04634e+287,-2.04839e+284,0,-0.1,
0.000103,-2.05044e+290,-2.04839e+296,9.29798e+273,0,-2.05044e+290,-2.04838e+290,2.04838e+290,-2.05044e+287,0,-0.1,
0.000104,-2.05249e+293,-2.05044e+299,9.3134e+276,0,-2.05249e+293,-2.05043e+293,2.05043e+293,-2.05249e+290,0,-0.1,
0.000105,-2.05454e+296,-2.05249e+302,9.3242e+279,0,-2.05454e+296,-2.05248e+296,2.05248e+296,-2.05454e+293,0,-0.1,
0.000106,-2.05659e+299,-2.05454e+305,9.36646e+282,0,-2.05659e+299,-2.05454e+299,2.05454e+299,-2.05659e+296,0,-0.1,
0.000107,-inf,-inf,-nan,0,-inf,-2.05659e+302,-nan,-nan,0,-0.1,
0.000108,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000109,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.00011,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000111,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000112,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000113,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000114,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000115,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000116,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000117,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000118,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000119,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.00012,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000121,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000122,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000123,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000124,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000125,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000126,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000127,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000128,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000129,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.00013,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000131,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000132,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
