Detected Component: R3
G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G31:0 G31:-0.2 G31:0.2 
Detected Component: R3
G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G31:0 G31:-0.2 G31:1.2 
Detected Component: R3
G11:0 G11:0 G11:0 G21:0 G21:0.2 G21:-0.2 G31:0 G31:-0.2 G31:1.2 
Detected Component: R1
G11:0 G11:0 G11:0 G21:-0.25 G21:0.45 G21:-0.2 G31:0 G31:-0.2 G31:1.2 
Detected Component: R1
G11:0.25 G11:-0.25 G11:0 G21:-0.25 G21:0.45 G21:-0.2 G31:0 G31:-0.2 G31:1.2 
Detected Component: V1
G11:1 G11:0 G11:0 G21:-0.25 G21:0.45 G21:-0.2 G31:0 G31:-0.2 G31:1.2 
Time,N001,N002,N003,V1,R1,R3,R3,
0.0057,5,3,0.5,0,0.5,0.5,0.5,
0.0058,5,3,0.5,0,0.5,0.5,0.5,
0.0059,5,3,0.5,0,0.5,0.5,0.5,
0.006,5,3,0.5,0,0.5,0.5,0.5,
0.0061,5,3,0.5,0,0.5,0.5,0.5,
0.0062,5,3,0.5,0,0.5,0.5,0.5,
0.0063,5,3,0.5,0,0.5,0.5,0.5,
0.0064,5,3,0.5,0,0.5,0.5,0.5,
0.0065,5,3,0.5,0,0.5,0.5,0.5,
0.0066,5,3,0.5,0,0.5,0.5,0.5,
0.0067,5,3,0.5,0,0.5,0.5,0.5,
0.0068,5,3,0.5,0,0.5,0.5,0.5,
0.0069,5,3,0.5,0,0.5,0.5,0.5,
0.007,5,3,0.5,0,0.5,0.5,0.5,
0.0071,5,3,0.5,0,0.5,0.5,0.5,
0.0072,5,3,0.5,0,0.5,0.5,0.5,
0.0073,5,3,0.5,0,0.5,0.5,0.5,
0.0074,5,3,0.5,0,0.5,0.5,0.5,
0.0075,5,3,0.5,0,0.5,0.5,0.5,
0.0076,5,3,0.5,0,0.5,0.5,0.5,
0.0077,5,3,0.5,0,0.5,0.5,0.5,
0.0078,5,3,0.5,0,0.5,0.5,0.5,
0.0079,5,3,0.5,0,0.5,0.5,0.5,
0.008,5,3,0.5,0,0.5,0.5,0.5,
0.0081,5,3,0.5,0,0.5,0.5,0.5,
0.0082,5,3,0.5,0,0.5,0.5,0.5,
0.0083,5,3,0.5,0,0.5,0.5,0.5,
0.0084,5,3,0.5,0,0.5,0.5,0.5,
0.0085,5,3,0.5,0,0.5,0.5,0.5,
0.0086,5,3,0.5,0,0.5,0.5,0.5,
0.0087,5,3,0.5,0,0.5,0.5,0.5,
0.0088,5,3,0.5,0,0.5,0.5,0.5,
0.0089,5,3,0.5,0,0.5,0.5,0.5,
0.009,5,3,0.5,0,0.5,0.5,0.5,
0.0091,5,3,0.5,0,0.5,0.5,0.5,
0.0092,5,3,0.5,0,0.5,0.5,0.5,
0.0093,5,3,0.5,0,0.5,0.5,0.5,
0.0094,5,3,0.5,0,0.5,0.5,0.5,
0.0095,5,3,0.5,0,0.5,0.5,0.5,
0.0096,5,3,0.5,0,0.5,0.5,0.5,
0.0097,5,3,0.5,0,0.5,0.5,0.5,
0.0098,5,3,0.5,0,0.5,0.5,0.5,
0.0099,5,3,0.5,0,0.5,0.5,0.5,
0.01,5,3,0.5,0,0.5,0.5,0.5,
